# data from Gutjahr et al. 2017, Case where C-org burial increases during the recovery
Time_WRT_CIE,DIC,pH
-12.30,1.79E-03,7.73E+00
-12.20,1.79E-03,7.73E+00
-12.10,1.79E-03,7.73E+00
-12.00,1.79E-03,7.73E+00
-11.90,1.79E-03,7.73E+00
-11.80,1.79E-03,7.73E+00
-11.70,1.79E-03,7.73E+00
-11.60,1.79E-03,7.73E+00
-11.50,1.79E-03,7.73E+00
-11.40,1.79E-03,7.73E+00
-11.30,1.79E-03,7.73E+00
-11.20,1.79E-03,7.73E+00
-11.10,1.79E-03,7.73E+00
-11.00,1.79E-03,7.73E+00
-10.90,1.79E-03,7.73E+00
-10.80,1.79E-03,7.73E+00
-10.70,1.79E-03,7.73E+00
-10.60,1.79E-03,7.73E+00
-10.50,1.79E-03,7.73E+00
-10.40,1.79E-03,7.73E+00
-10.30,1.79E-03,7.73E+00
-10.20,1.79E-03,7.73E+00
-10.10,1.79E-03,7.73E+00
-10.00,1.79E-03,7.73E+00
-9.90,1.79E-03,7.73E+00
-9.80,1.79E-03,7.73E+00
-9.70,1.79E-03,7.73E+00
-9.60,1.79E-03,7.73E+00
-9.50,1.79E-03,7.73E+00
-9.40,1.79E-03,7.73E+00
-9.30,1.79E-03,7.73E+00
-9.20,1.79E-03,7.73E+00
-9.10,1.79E-03,7.73E+00
-9.00,1.79E-03,7.73E+00
-8.90,1.79E-03,7.73E+00
-8.80,1.79E-03,7.72E+00
-8.70,1.79E-03,7.72E+00
-8.60,1.79E-03,7.72E+00
-8.50,1.79E-03,7.71E+00
-8.40,1.79E-03,7.71E+00
-8.30,1.79E-03,7.70E+00
-8.20,1.80E-03,7.70E+00
-8.10,1.80E-03,7.70E+00
-8.00,1.80E-03,7.69E+00
-7.90,1.80E-03,7.69E+00
-7.80,1.80E-03,7.68E+00
-7.70,1.80E-03,7.68E+00
-7.60,1.80E-03,7.68E+00
-7.50,1.80E-03,7.67E+00
-7.40,1.80E-03,7.67E+00
-7.30,1.81E-03,7.66E+00
-7.20,1.81E-03,7.66E+00
-7.10,1.81E-03,7.66E+00
-7.00,1.81E-03,7.65E+00
-6.90,1.81E-03,7.65E+00
-6.80,1.81E-03,7.64E+00
-6.70,1.81E-03,7.64E+00
-6.60,1.82E-03,7.64E+00
-6.50,1.82E-03,7.63E+00
-6.40,1.82E-03,7.63E+00
-6.30,1.82E-03,7.62E+00
-6.20,1.82E-03,7.62E+00
-6.10,1.83E-03,7.62E+00
-6.00,1.83E-03,7.61E+00
-5.90,1.83E-03,7.61E+00
-5.80,1.83E-03,7.60E+00
-5.70,1.84E-03,7.60E+00
-5.60,1.84E-03,7.60E+00
-5.50,1.84E-03,7.59E+00
-5.40,1.84E-03,7.59E+00
-5.30,1.85E-03,7.58E+00
-5.20,1.85E-03,7.58E+00
-5.10,1.85E-03,7.58E+00
-5.00,1.85E-03,7.57E+00
-4.90,1.86E-03,7.57E+00
-4.80,1.86E-03,7.56E+00
-4.70,1.86E-03,7.56E+00
-4.60,1.87E-03,7.56E+00
-4.50,1.87E-03,7.55E+00
-4.40,1.87E-03,7.55E+00
-4.30,1.87E-03,7.54E+00
-4.20,1.88E-03,7.54E+00
-4.10,1.88E-03,7.54E+00
-4.00,1.88E-03,7.53E+00
-3.90,1.89E-03,7.53E+00
-3.80,1.89E-03,7.53E+00
-3.70,1.89E-03,7.53E+00
-3.60,1.89E-03,7.53E+00
-3.50,1.90E-03,7.53E+00
-3.40,1.90E-03,7.53E+00
-3.30,1.90E-03,7.53E+00
-3.20,1.90E-03,7.53E+00
